ID	SOURCES	SEARCH_WORD	GENRES	CORPUS	PERIOD	REST_LEFT	NODE	REST_RIGHT	DATA_TYPE	ROOT_USE	USE	PATTERN	ENGLISH_GLOSS	WORD_ORDER	LU_PHRASE_TYPE	LEXICAL_UNIT	METANET_SOURCE_FRAMES	SUBMET	CXN_PATTERNS	FRAME_FAMILIES	PERIODS	PERIOD_RANGE	METAPHORS
bhg_2	classical_malay	bahagia	newspapers	Imam 483:21	1900	makan angin sahaja. 4. Di tanahair kita memelihara mereka itu akan adab mereka itu sendiri - dan kita mengengkarkan diri kita dan ada kita di negeri kita. 5. <phr>Setengah daripada</phr>	<w type=“target”>kebahagiaan</w>	ahli-ahli mereka itu ialah laki-laki yang memilih bagi tunangan - dan kita ialah menyerahkan memilih itu tunangnya bagi orang yang laki-laki atau perempuan yang kita	ke_an	ke_an	m.quant	setengah daripada NP	half of NP	NA	quantifiers	setengah	QUANTITY	LESS INTENSE HAPPINESS IS LESS QUANTITY OF AN OBJECT	S-quant_prep_T-noun	SCALE	1900s	1900-49	intensity of happiness is quantity of object
bhg_22	classical_malay	bahagia	newspapers	PK 146:10c	1940	.... terbuka , nekadkan hati melawan puaka , niat yang baik segeralah jangka , nusa dibangkitkan janganlah leka. | K Kemajuan kelak dapat dirasa , kehidupan kita boleh <colloc>berjasa</colloc> ,	<w type=“target”>kebahagiaan</w>	<phr>didapati</phr> <colloc>sepanjang masa</colloc> , kalau bersekutu sahaja sentiasa. | Y Yang membawa kita beredar , ialah Persekutuan sudah ditindar , yakkut keamanan tempat bersandar , yaum ..	ke_an	ke_an	m	NP didapati	NP be gotten	NA	vp	dapati	GAIN POSSESSION	CHANGE OF STATE IS ACQUISITION	T-subj_S-verb	POSSESSION	1900s	1900-49	happiness is a possessable object
bhg_23	classical_malay	bahagia	newspapers	PK 146:11d	1940	........... didapati sepanjang masa , kalau bersekutu sahaja sentiasa. | Y Yang membawa kita beredar , ialah Persekutuan sudah ditindar , yakkut <colloc>keamanan</colloc> <colloc>tempat</colloc> <colloc>bersandar</colloc> , <colloc>yaum</colloc>	<w type=“target”>kebahagiaan</w>	<phr>tidak terhindar</phr>. | T Teruna perawan ibu dan bapa , tetapkan hati Persekutuan disapa , tidakkan kekacauan kelak menyerupa , tentukan kemajuan lekas berupa. | §	ke_an	ke_an	m	NP terhindar	NP be avoided/gotten around	NA	vp	hindar	MOTION IMPEDIMENT	HAPPINESS IS AN IMPEDING ENTITY	T-subj_S-verb	MOTION	1900s	1900-49	happiness is an impeding entity
bhg_26	classical_malay	bahagia	newspapers	PK 262:1b	1940	§ Kebahagiaan : oleh Ismail Ahmad K.S. : Nun! Di sebalik gunung yang hijau , <phr>nampak berbayang</phr>	<w type=“target”>kebahagiaan</w>	kita ; dari sini dah dapat <phr>ditinjau</phr> , bila kubuka pelupuk mata. | Tetapi masih jauh lagi , sungguhpun kita mara mendapatkannya ; kepenatan kita tak akan berasa rugi , ..	ke_an	ke_an	m	NP nampak berbayang	NP appears to shade/flashes (across)	NA	vp	berbayang	LUMINOUSITY_DARKNESS	INTENSITY OF HAPPINESS IS LUMINOUSITY	T-subj_verb_S-verb-compl	LUMINOUSITY	1900s	1900-49	happiness is light
bhg_27	classical_malay	bahagia	newspapers	PK 262:3d	1940	... akan berasa rugi , jika telah dapat memperolehinya. | Jangan putus harap wahai saudaraku , kita mesti tekun dan tawakal ; walau menempuh sebarang liku , manakala <phr>dapat</phr> itulah	<w type=“target”>kebahagiaan</w>	<phr>yang kekal</phr>. | Kebahagiaan yang dicita-cita , kebahagiaan yang diingini sentiasa ; kebahagiaan untuk Melayu rata , kebahagiaan yang mendatangkan sentosa. | Itulah yang ..	ke_an	ke_an	m	dapat NP	to get NP	NA	vp	dapat	GAIN POSSESSION	CHANGE OF STATE IS ACQUISITION	S-verb_T-dobj	POSSESSION	1900s	1900-49	happiness is a possessable object
bhg_31	classical_malay	bahagia	newspapers	PK 262:4d	1940	..... menempuh sebarang liku , manakala dapat itulah kebahagiaan yang kekal. | Kebahagiaan yang dicita-cita , kebahagiaan yang diingini sentiasa ; kebahagiaan untuk Melayu rata ,	<w type=“target”>kebahagiaan</w>	<phr>yang mendatangkan</phr> <colloc>sentosa</colloc>. | Itulah yang dicita siang dan malam , yang tak dilupai setiap saat ; moga-moga dapat berkecimpung di dalam , kebahagiaan yang dicari dengan .	ke_an	ke_an	m	NP yang mendatangkan STATE	NP that causes STATE to come	NA	vp	datangkan	FORCED MOTION	HAPPINESS IS AN AGENT	T-noun_REL_S-verb	MOTION	1900s	1900-49	happiness is an agent
bhg_32	classical_malay	bahagia	newspapers	PK 262:5d	1940	......... untuk Melayu rata , kebahagiaan yang mendatangkan sentosa. | Itulah yang dicita siang dan malam , yang tak dilupai setiap saat ; moga-moga dapat <phr>berkecimpung di dalam</phr> ,	<w type=“target”>kebahagiaan</w>	<phr>yang dicari</phr> dengan taat. | §	ke_an	ke_an	m	NP yang dicari	NP that be searched for	NA	vp	cari	PURSUE	ATTEMPTING TO BE HAPPY IS SEARCHING/PURSUING A DESIRED OBJECT	T-noun_REL_S-verb	MOTION	1900s	1900-49	happiness is a desired goal
bhg_32	classical_malay	bahagia	newspapers	PK 262:5d	1940	......... untuk Melayu rata , kebahagiaan yang mendatangkan sentosa. | Itulah yang dicita siang dan malam , yang tak dilupai setiap saat ; moga-moga dapat <phr>berkecimpung di dalam</phr> ,	<w type=“target”>kebahagiaan</w>	<phr>yang dicari</phr> dengan taat. | §	ke_an	ke_an	m.multi	berkecimpung di dalam NP	to splash around inside NP	NA	vp	berkecimpung	WET	EXPERIENCING HAPPINESS IS BEING SOAKED	S-verb_prep_T-noun	SUBSTANCE	1900s	1900-49	experiencing happiness is being soaked
bhg_33	classical_malay	bahagia	newspapers	S 27Jan40:3	1940	.. itu supaya mereka itu menjadi guru. Jangan kalau digunakan jentera tenunan kepunyaan datuk moyang kita. Ilmu tenunan ilmu meliputi diri sendiri ketauhi ilmu serba serbi <phr>mutu</phr>	<w type=“target”>kebahagiaan</w>	. §	ke_an	ke_an	m	mutu NP	quality of NP	NA	np	mutu	VALUE	HAPPINESS IS A COMMODITY/GOODS	S-noun_T-noun	RESOURCE	1900s	1900-49	happiness is commodity
bhg_35	classical_malay	bahagia	newspapers	S 14Feb40:3	1940	suka bekerja. Bahkan dengan yakinnya hati mereka itu pada membuat sesuatu pekerjaan dengan tekunnya. Maka dengan sebab itulah mereka itu masa ini telah <phr>sampai ke muncak gunung</phr>	<w type=“target”>kebahagiaan</w>	dengan <colloc>sepenuh2</colloc> <colloc>kejayaan</colloc> pada serba serbinya. Akan tetapi bagi pihak umat Melayu masih tinggal lagi di belakang umat Barat kerana umat Melayu kekurangan pada serba .....	ke_an	ke_an	m	gunung NP	mountain of NP	NA	np	gunung	BEING AT A HIGH LOCATION	HAPPINESS IS UP	S-noun_T-noun	LOCATION	1900s	1900-49	happiness is up
bhg_35	classical_malay	bahagia	newspapers	S 14Feb40:3	1940	suka bekerja. Bahkan dengan yakinnya hati mereka itu pada membuat sesuatu pekerjaan dengan tekunnya. Maka dengan sebab itulah mereka itu masa ini telah <phr>sampai ke muncak gunung</phr>	<w type=“target”>kebahagiaan</w>	dengan <colloc>sepenuh2</colloc> <colloc>kejayaan</colloc> pada serba serbinya. Akan tetapi bagi pihak umat Melayu masih tinggal lagi di belakang umat Barat kerana umat Melayu kekurangan pada serba .....	ke_an	ke_an	m.multi	muncak gunung NP	peak of the mountain of NP	NA	np	muncak gunung	BEING AT A HIGH LOCATION	HAPPINESS IS UP	S-noun_T-noun	LOCATION	1900s	1900-49	happiness is up
bhg_35	classical_malay	bahagia	newspapers	S 14Feb40:3	1940	suka bekerja. Bahkan dengan yakinnya hati mereka itu pada membuat sesuatu pekerjaan dengan tekunnya. Maka dengan sebab itulah mereka itu masa ini telah <phr>sampai ke muncak gunung</phr>	<w type=“target”>kebahagiaan</w>	dengan <colloc>sepenuh2</colloc> <colloc>kejayaan</colloc> pada serba serbinya. Akan tetapi bagi pihak umat Melayu masih tinggal lagi di belakang umat Barat kerana umat Melayu kekurangan pada serba .....	ke_an	ke_an	m.multi	sampai ke muncak gunung NP	to arrive to the peak of the mountain og NP	NA	vp	sampai	MOTION TO A LOCATION	ATTAINING HAPPINESS IS ARRIVING/REACHING A DESTINATION	S-verb_prep_T-noun	MOTION	1900s	1900-49	happiness is a desired goal
bhg_36	classical_malay	bahagia	newspapers	S 14Feb40:3	1940	kadarkan setakat berpelajaran sahaja namanya iaitu kebanyakannya pula masih belia, dan antaranya di bangku sekolah lagi. Tetapi sememang begitu pun adalah harapan <phr>mendapat</phr> jua	<w type=“target”>kebahagiaan</w>	lambat lawannya. Maka bagi belia2 Melayu yang telah ada sedikit sebanyak pelajaran itu haraplah pula tekun membuat sesuatu pekerjaan dan janganlah diharapkan semata2 ...	ke_an	ke_an	m	mendapat NP	to get NP	NA	vp	dapat	GAIN POSSESSION	CHANGE OF STATE IS ACQUISITION	S-verb_T-dobj	POSSESSION	1900s	1900-49	happiness is a possessable object
bhg_37	classical_malay	bahagia	newspapers	S 14Feb40:3	1940	..... atau besar, menjual serba serbi kain2 dan sebagainya. Contohlah perniagaan orang2 Cina. Moga2 boleh maju. Tambahan pula tiap2 pekerjaan yang <colloc>bertekun</colloc> itu akhirnya <phr>beroleh</phr>	<w type=“target”>kebahagiaan</w>	tetapi syaratnya mahulah tekun dan selalu2 mahu mencoba -- tak pada dengan sekali dua sahaja. Seyogyalah jika dihalusi hal2 penghidupan seseorang yang telah berada pada	ke_an	ke_an	m	beroleh NP	to (passively) get/receive NP	NA	vp	beroleh	GAIN POSSESSION	CHANGE OF STATE IS ACQUISITION	S-verb_T-noun	POSSESSION	1900s	1900-49	happiness is a possessable object
bhg_4	classical_malay	bahagia	newspapers	M 14Sep32:7	1930	dan betul belaka, tetapi saya mengaku segala apa yang hendak disajikan ini terbit daripada hati yang suci dan sempurna kasih kepada kaum dan bangsa. Oleh sebab <phr>tamak saya akan</phr>	<w type=“target”>kebahagiaan</w>	dan <colloc>kemajuan</colloc> Melayu pada masa yang akan datang, maka saya cuba membuka pintu. Saya sangat bersetuju jika semua nazir sekolah-sekolah Melayu termasuk penolong nazir dan	ke_an	ke_an	m	tamak akan NP	to be greedy about NP	NA	adj	tamak	POSSESSION	EXPERIENCING HAPPINESS IS POSSESSING AN OBJECT	S-adj-pred_prep_T-noun	POSSESSION	1900s	1900-49	happiness is a possessable object
bhg_5	classical_malay	bahagia	newspapers	S 29Sep32:7	1930	akan bertambah-tambah banyak gelombang dan kehidupan bertambah keras senantiasa. Sebab itu kita harus memperbaiki hati kita supaya pelayaran kepada selamat <phr>mencapai daratan</phr>	<w type=“target”>kebahagiaan</w>	<phr>yang masih dicita-cita itu</phr>, mudah-mudahan jangan tenggelam di dalam huru-hara kesesatan yang datang hendak memaling haluan kita daripada kebenaran Allah, supaya dapat	ke_an	ke_an	m	daratan NP	land of NP	NA	np	daratan	LOCALE	HAPPINESS IS A LANDMARK/LOCATION	S-noun_T-noun	LOCATION	1900s	1900-49	happiness is a location
bhg_5	classical_malay	bahagia	newspapers	S 29Sep32:7	1930	akan bertambah-tambah banyak gelombang dan kehidupan bertambah keras senantiasa. Sebab itu kita harus memperbaiki hati kita supaya pelayaran kepada selamat <phr>mencapai daratan</phr>	<w type=“target”>kebahagiaan</w>	<phr>yang masih dicita-cita itu</phr>, mudah-mudahan jangan tenggelam di dalam huru-hara kesesatan yang datang hendak memaling haluan kita daripada kebenaran Allah, supaya dapat	ke_an	ke_an	m.multi	mencapai daratan NP	to reach land of NP	NA	vp	capai	MOTION TO A LOCATION	ATTAINING HAPPINESS IS ARRIVING/REACHING A DESTINATION	S-verb_T-dobj	MOTION	1900s	1900-49	happiness is a desired goal
bhg_6	classical_malay	bahagia	newspapers	WM 13Jan34:16	1930	di atas dunia ini tidak boleh mendapat sesuatu benda atau pekerjaan melainkan dengan ilmu yang berguna dan manfaat yang ialah beredar pusingan <phr>cakerawala</phr> <collo>kehidupan</colloc> dan	<w type=“target”>kebahagiaan</w>	. Adapun, orang kaya yang tiada menjalankan pekerjaan dan perusahaan itu tertegahlah ia daripada kelazatan dan kesedapan bahkan iaitu seolah-olah mendedahkan dirinya	ke_an	ke_an	m	cakerawala NP	sky of NP	NA	np	cakerawala	BEING AT A HIGH LOCATION	HAPPINESS IS UP	S-noun_T-noun	LOCATION	1900s	1900-49	happiness is up
bhg_7	classical_malay	bahagia	newspapers	WM 13Jan34:16	1930	dengan pekerjaan perusahaan dan melobakan kepada kelebihan dan ketinggian dan menggunakan otak fikiran bagi mencapaikan angan-angan dan cita-cita. Maka inilah yang dikatakan	<w type=“target”>kebahagiaan</w>	<phr>yang maha besar</phr>, bahkan iaitu semulia-mulia daripada pelbagai kebahagiaan. Bahwa bumi yang elok subur itu tidak boleh menambahkan sesuatu perkara pun dengan ketiadaan	ke_an	ke_an	m	NP yang maha besar	NP that be extremely big	NA	adj	maha-besar	SIZE	INTENSITY OF HAPPINESS IS SIZE OF OBJECT	T-noun_REL_S-adj	SCALE	1900s	1900-49	intensity of happiness is size of object
bhg_9	classical_malay	bahagia	newspapers	S 2Feb35:6	1930	iaitu daripadanya dikehendaki untuk menjadi ukuran kepada khas atau umum bagi mengetahui kebusukan dan kerendahan budi pekerti seseorang, kerana <phr>iri dan dengki hatinya di atas</phr>	<w type=“target”>kebahagiaan</w>	<colloc>seseorang</colloc> itu walaupun di dalam rumah tangganya sendiri. Jika orang-orang Melayu pada masa ini berkehendak akan mendapati kelayakannya menyambut tujuan Cina-Cina itu	ke_an	ke_an	prepo	di atas NP	on top of NP	NA	pp	di atas	BEING AT A HIGH LOCATION	HAPPINESS IS UP	S-prep_T-noun	LOCATION	1900s	1900-49	happiness is up
gmb_1	classical_malay	gembira	newspapers	PK 7:12d	1920	...... terang , bertambah-tambah bukanlah kurang. | Apabila Semenanjung melihat keadaan , putera dan dagang bersuka-sukaan , bersama-sama membuat perusahaan , <phr n=“PT1” ana=“meta”>besarlah hati dengan</phr>	<w type=“target”>kegembiraan</w>	. | Wahai Semenanjung negeri yang masyhur , tanahmu luas sangatlah makmur , datanglah dagang Barat dan Timur , menumpang hidup sentiasa umur. | Wahai Semenanjung negeri .	ke_an	ke_an	m	hati besar dengan NP	liver be big with NP	NA	adj	hati besar dengan	CONTAINING	HAPPINESS IS AN ENTITY IN A BOUNDED REGION	S-adj-pred_prep_T-noun	SUBSTANCE	1900s	1900-49	happiness is a contained entity
rng_5	classical_malay	riang	newspapers	PK 101:2c	1930	.oleh Danial Din : Di barat matahari terang , alam yang tadinya kelam ; kabus yang sedang berbalam , telah terang-temerang | pagi hampir tiba , unggas berterbangan ; <phr n=“PT1” ana=“meta”>menunjukkan</phr>	<w type=“target”>keriangan</w>	, keluar mencari laba | makhluk bersuka ria , menyambut kedatangan bahari ; alam bertambah berseri , mengalukan tetamu dia | matahari hampir rembang , tamadun dunia Barat	ke_an	ke_an	m	menunjukkan NP	to point out/display NP	NA	vp	tunjukkan	CAUSE TO SEE	EXPRESSING HAPPINESS IS SHOWING AN OBJECT	S-verb_T-dobj	PERCEPTION	1900s	1900-49	happiness is an (un)veiled object
sng_1	classical_malay	senang	prose	Bayan 209:23	1370	..... negeri itu semuanya kasih sayang akan Hasanah oléh bijaksananya Hasanah mengambil hati raja dengan segala isi negeri itu; daripada adil murahnya Hasanah sekahannya <phr>dalam</phr>	<w type=“target”>kesenangan</w>	juga. Demikianlah Hasanah memerintahkan segala rakyat dalam negeri itu. Hatta, beberapa lamanya, raja itu pun kejatuhan sakit terlalu sangat; beberapa diubati, usahkan ..	ke_an	ke_an	prepo	dalam NP	inside of NP	NA	pp	dalam	BOUNDED REGION	EXPERIENCING HAPPINESS IS BEING IN A BOUNDED REGION	S-prep_T-noun	LOCATION	1300s	1350-99	happiness is a location
sng_10	classical_malay	senang	prose	Abd.PK 39	1830	... dengan tiada seorang takut akan seorang, dan tiada boleh seorang menganiaya akan seorang, sebab segala perintah dan hukumnya itu menuju kepada suatu perkara yang besar, yaitu	<w type=“target”>kesenangan</w>	<phr>hati</phr> <phr>bagi</phr> segala ra`yatnya juga. Maka adalah kira2 sampai pukul empat petang, maka segala perahu2 Melayu yang bersaing itu pun tertinggallah. Maka dapatlah seekor .......	ke_an	ke_an	prepo	NP hati bagi X	NP of liver for X	NA	pp	bagi	TRANSFER SCENARIO	CAUSING HAPPINESS IS OBJECT TRANSFER	T-noun_S-prep	POSSESSION	1800s	1800-49	happiness is a possessable object
sng_102	classical_malay	senang	letters_&_documents	SRN 35:1	1820	.... yang amat cemerlang pada c.r.m bulan maka masyhurlah namanya pada segala negeri-negeri dan serokan-serokan adanya. Maka tatkala kita dengar bahwa adalah sahabat kita <phr>di dalam</phr>	<w type=“target”>kesenangan</w>	dan kebajikan serta sehat dan afiat itu maka terbukalah pintu hati kesukaan kita serta dipohonkan kiranya, mudah-mudahan bertambah-tambah pula pangkat ketinggiannya .....	ke_an	ke_an	prepo	di dalam NP	inside of NP	NA	pp	di dalam	BOUNDED REGION	EXPERIENCING HAPPINESS IS BEING IN A BOUNDED REGION	S-prep_T-noun	LOCATION	1800s	1800-49	happiness is a location
sng_107	classical_malay	senang	letters_&_documents	SRN 28:2	1820	...... sepohon kayu yang besar segala hamba tahan bernaung di bawahnya. Maka dipohonkan atasnya barang kekalkan pangkat yang kebesaran serta berlanjutkan dari umur zamannya dengan	<w type=“target”>kesenangan</w>	<phr>di dalam</phr> dunia ini yang selagi ada duduk di negeri Yogyakarta Adiningrat adanya. Wa ba`dahu kemudian daripada itu maka adalah saya mengunjukkan sepucuk surat ini ke .....	ke_an	ke_an	prepo	NP di dalam X	NP be inside X	NA	pp	di dalam	BOUNDED REGION	HAPPINESS IS AN ENTITY IN A BOUNDED REGION	T-noun_S-prep	LOCATION	1800s	1800-49	happiness is a contained entity
sng_109	classical_malay	senang	letters_&_documents	SRN 32:1	1820	........ dan kemuliaan yang senantiasa adanya, yaitu daripada kita Tuan Lodewijk Karel Graaf van Ranzow yang terhormat asisten residen yang bertakhta kerajaan dan kebesaran dengan	<w type=“target”>kesenangan</w>	<phr>di dalam</phr> daerah kantor negeri Sumeneb, maka barang disampaikan Tuhan kita seru sekalian alam datang ke hadapan majelis pihak derajat sahabat kita Sri Paduka Yang ........	ke_an	ke_an	prepo	NP di dalam X	NP be inside X	NA	pp	di dalam	BOUNDED REGION	HAPPINESS IS AN ENTITY IN A BOUNDED REGION	T-noun_S-prep	LOCATION	1800s	1800-49	happiness is a contained entity
sng_110	classical_malay	senang	letters_&_documents	SRN 32:1	1820	.. dan kebesaran serta pemerintah atas sekalian rakyat dengan istirahat al-khair di dalam daerah negeri Riau dār as-salām, ialah yang <phr>mempunyai</phr> pangkat martabat yang kemuliaan dan	<w type=“target”>kesenangan</w>	, syahdan yang amat murah dan penyayang serta limpah makmur barang hal budi bicara yang lemah lembut lagi menyempurnakan hajat daripada handai taulannya qarīb dan ba`īd ..	ke_an	ke_an	m	mempunyai NP	to own/possess/have NP	NA	vp	punyai	POSSESSION	EXPERIENCING HAPPINESS IS POSSESSING AN OBJECT	S-verb_T-dobj	POSSESSION	1800s	1800-49	happiness is a possessable object
sng_111	classical_malay	senang	letters_&_documents	SRN 32:5	1820	... surat, maka tiada boleh jadi. Kita rasa Tuan Komisaris Jenderal yang bikin gelap di atasnya, karena itu surat ada berfaedah besar pada kita. Maka itulah jikalau <phr>ada</phr> ringan dan	<w type=“target”>kesenangan</w>	serta <colloc>kerinduhan hati</colloc> dengan izin rida sahabat, maka kita harab pada sahabat akan kirim turunannya itu surat seperti yang dahulu ditulis kertas perada dan bersamaan .....	ke_an	ke_an	m	ada NP	there exists/be NP	pred_subj	vp	ada	BEING AT A LOCATION	EXISTENCE OF HAPPINESS IS PRESENCE OF AN OBJECT AT A LOCATION	S-verb_T-noun	LOCATION	1800s	1800-49	happiness is a located object
