period	words	title	genre	left	node	right	form	period_short
1830	senang	Abd.PK 157	prose	dan larangan di negeri Melayu antara raja dengan ra`yatnya, daripada bahasa dan pakaian, dan rumah dan perahu. Maka dalam negeri Inggeris tiada yang demikian; sebab itu <phr>menjadi</phr>	<w type=“target”>kesenangan</w>	dan sentosa <phr>atas</phr> segala ra`yat. Dan lagi, kalau ada pekerjaan raja itu, maka segala ra`yat itu mengerjakan dia, barangkali hilang dengan jiwanya. Maka ia juga sendiri ...	nominalised	1800s
1830	senang	TBarus 200:10	prose	Pasaribu sekaliannya. Syahadan adapun seri paduka Sultan Ibrahim selama dia tinggal di sana tiada juga senang dalam hatinya melainkan dia henda´ berjalan juga <phr>mencari tempat</phr>	<w type=“target”>kasenangan</w>	<phr>dalam hatinya</phr>. Maka adalah pada suatu hari Sultan Ibrahim pun mohon henda´ berjalan mencari tempat ka tapi laut. Maka seri maharaja Sultan Ibrahim pun berdatang kata ....	nominalised	1800s
1840	senang	Abd.C KA 50	prose	. kain itu, melainkan gunanya itu kepada segala orang yang miskin2 supaya boleh ia membeli dengan murahnya; maka adalah dari sebab segala perkara yang tersebut itu <phr>mendatangkan</phr>	<w type=“target”>kesenangan</w>	dan kesentosaan kepada segala orang miskin, seperti orang kaya2 adanya. Bahwa bukannya guna asap itu membawa kapal dan kereta itu sahaja dengan lajunya, melainkan adalah	nominalised	1800s
1840	senang	Abd.C KA 67	prose	..... dari hal asap ini. Maka hubaya2 janganlah engkau berfikir nasib orang putih itu bertuah dan nasibmu celaka. Maka bahwa sesungguhnya hendaklah engkau fikir bahwa <phr>datangnya</phr>	<w type=“target”>kesenangan</w>	dan kekayaan orang putih itu telah dikurniakan Allah akan dia seperti suatu hadiah sebab rajinnya menyelidik akan segala hikmat Allah adanya. Maka adalah pada dahulukala	nominalised	1800s
1840	senang	Abd.C KA 77	prose	.... juga duduk melekat dengan bodoh dan bebal nenek moyang kita itu atau patutkah kita menyelidik akan segala hikmat Allah dan perbuatannya, yaitu supaya <phr>menambahkan</phr> `ilmu dan	<w type=“target”>kesenangan</w>	kita, seperti pekerjaan asap ini. Maka jawablah sekarang yang manakah patut kita berbuat itu, atau kita tinggal jugakah dengan bodoh dan miskin kita itu seperti suruhan .	nominalised	1800s
1840	senang	Abd.C KA 79	prose	.. tiada ia mengerti dari kecilnya sampai ke besarnya, maka bolehkah keluar berpuluh2 ribu orang yang pandai dalam segala pekerjaan pesawat dan segala perkara yang <phr>mendatangkan</phr>	<w type=“target”>kesenangan</w>	dan kebajikan akan dia? Maka pada sangkamu dijadikan Allah akan `akal manusia ini sebab hendak disuruhkannya akan dia tidur sahajakah dalam otak manusia atau disuruhnya .	nominalised	1800s
1840	senang	Abd.C KA 81	prose	...... yang lain? Maka jikalau kiranya ada dalam barang negeri2 Melayu, baik raja2nya atau orang besarnya yang ada menerima segala `adat2 dan pekerjaan Eropah yang <phr>mendatangkan</phr>	<w type=“target”>kesenangan</w>	dan sentosa seperti pekerjaan asap ini, maka jikalau dilihat oleh orang `Arab akan hal negeri itu lain adanya daripada `adat sehari2 dan apabila dilihatnya akan hal .....	nominalised	1800s
1840	senang	Abd.H 126:4	prose	.... terlalu baik budi bahasanya lagi dengan tegur sapanya. Melainkan Allah juga membalas kasihnya itu dalam dunia ini dengan bertambah2 kebesaran dan kemuliaan serta <phr>diberinya</phr>	<w type=“target”>kesenangan</w>	lagi sehat dalam sentosanya. Maka pada hari itu juga ia membuat bicara lalu dibawanya pergi bapa saudaraku yang bernama Isma`il Lebai. Lalu berlayarlah ia bersama2 kapal	nominalised	1800s
1840	senang	Abd.H 152:7	prose	.... katanya: “Tuan, coba kampungkan perkataan2 bahasa Melayu. Boleh sahaya beri perkataan Inggeris. Boleh kita buat satu kitab bahasa Melayu dan Inggeris. Supaya boleh <phr>menjadi</phr>	<w type=“target”>kesenangan</w>	<phr>kepada</phr> Inggeris yang hendak belajar Melayu dan Melayu hendak belajar Inggeris.” Maka jawabku: “Baiklah, tuan.” Lalu kuusahakanlah mencari perkataan itu serta mengaturkan	nominalised	1800s
1840	senang	Abd.H 244:7	prose	.... menghantarkan anak kita ke Benggala itu, bukankah beribu ringgit belanjanya, lagipun bolehkah mendapat kemuliaan seperti bersama2 dengan anak Jenderal belajar dan <phr>mendapat</phr>	<w type=“target”>kesenangan</w>	rumah tempat diam seperti rumah Jenderal? Maka jikalau kiranya sudahlah dihantarkan oleh Sultan serta Temenggung akan anak2 mereka itu seperti kehendak Tuan Raffles itu,	nominalised	1800s
1840	senang	Abd.H 247:2	prose	... belanja guru atau apa2, boleh cuma2 belajar karena makin lama kelak makin ramai orang dalam negeri ini. Maka jikalau kiranya adalah suatu tempat yang demikian boleh <phr>menjadi</phr>	<w type=“target”>kesenangan</w>	<phr>pada</phr> segala bangsa belajar. Bagaimanakah pada fikiran tuan2, baikkah atau tidak seperti kehendak sahaya itu?” Maka jawab Sultan serta Temenggung: “Terlalu baik, tuan, ...	nominalised	1800s
1840	senang	Abd.H 302:13	prose	. yang setambun itu, sehingga tiadalah lagi kuasa ia membawa dirinya. Maka adalah pada perasaanku adapun tambun yang demikian itu bahwa sekali2 tiadalah <phr>mendatangkan</phr> sehat dan	<w type=“target”>kesenangan</w>	pada badan, melainkan dalam segala perkara mendatangkan kesusahan juga adanya. Sebermula maka kembalilah aku mencereterakan pula dari hal perselisihan antara Sultan .....	nominalised	1800s
1840	senang	Abd.H 339:3	prose	. sempurnanya, dan lagi oleh sebab yaitu bukannya bahasa dirinya. Adapun segala perkara yang tersebut itu pada fikiranku, jikalau ada [nahu]* bahasa Melayu alangkah baiknya dan	<w type=“target”>kesenangan</w>	<phr>kepada</phr> orang Melayu dan diajar anak2 di tempat belajar bahasa Melayu. Sebermula adapun yang kehendakku kusebutkan hendak menjadikan nahu bahasa Melayu itu, bukannya .....	nominalised	1800s
1840	senang	Abd.H 416:14	prose	..... celaka perompak itu. Maka Allah memberi selamat akan Queen Victoria di atas takhta kerajaan. Maka aku pun mengucap beribu2 syukur kepada Allah sebab <phr>mendapat</phr> sentosa dan	<w type=“target”>kesenangan</w>	duduk di bawah bendera Inggeris dan di bawah perintah raja yang baik seperti yang tersebut itu adanya. Sebermula oleh sebab segala perkara dan tabi`atnya yang baik itu, .	nominalised	1800s
1840	senang	Abd.H 421:3	prose	.. segala tuan2 daripada orang Melayu dan orang Cina yang ada hadhir dalam majlis ini, adapun kehendak Kompeni Inggeris kepada segala tuan2 hendaklah tuan2 sekalian <phr>duduk dalam</phr>	<w type=“target”>kesenangan</w>	dan kesentosaan serta mendapat untung dan faedah daripada perniagaan, yang telah terbuka dalam segala pulau2 di sebelah sini, akan tetapi jikalau selagi ada perompak dan	nominalised	1800s
1840	senang	Abd.H 421:5	prose	... daripada perniagaan, yang telah terbuka dalam segala pulau2 di sebelah sini, akan tetapi jikalau selagi ada perompak dan musuh itu, mustahillah kita sekalian boleh <phr>mendapat</phr>	<w type=“target”>kesenangan</w>	adanya. Maka oleh sebab yang demikianlah permintaanku kepada segala tuan2 bertolong2nganlah kiranya akan mencari serta membawa khabar2 perompak atau musuh itu. Maka .....	nominalised	1800s
1840	senang	Abd.H 423:9	prose	rasa buahnya. Maka beberapalah hamba Allah datang bernaung di bawahnya daripada panas matahari dan beberapa pula ia memintakan do`a oleh sebab <phr>mendapat</phr> tempat perlindungan dan	<w type=“target”>kesenangan</w>	itu, maka sebab itu inilah kukarangkan pantun: | Buaian kendur jangan ditarik , Bagai teguh buatan sendiri ; Tuan Gubernur orang yang baik , Pandai sungguh memerintahkan	nominalised	1800s
1840	senang	Abd.H 441:2	prose	malas demikian. Maka sungguhpun matanya sendiri ada melihat beberapa `ilmu2 yang besar2 baharu jadi dan perkara2 `ajaib didapati orang, yang <phr>mendatangkan</phr> hairan dan untung dan	<w type=“target”>kesenangan</w>	kepada segala manusia, maka itu pun tiada juga mereka itu mau membukakan kain selimutnya. Syahdan maka jikalau kiranya disangkanya ia bodoh lagi tiada mempunyai `ilmu ...	nominalised	1800s
1850	senang	Siak 641	prose	"... jenderal itu, ""Kayung boleh kita pukul, tuan mayor boleh jadi raja di dalam itu tanah."" Dan sembah Mayor Tengku Akil, ""Sahaya junjunglah kurnia tuan besar, yang hendak <phr>memberi</phr>"	<w type=“target”>kesenangan</w>	"kepada sahaya. Akan tetapi, boleh tuan besar kasi hutang kepada sahaya?"" Dan titah tuan besar, ""Boleh, dan berapa cukup?"" Kata Mayor Tengku Akil, ""Jika ada kurnia tuan .."	nominalised	1800s
1860	senang	BSK 439/118	prose	.-hubaya maka demikian pula persahabatan dan perdamaian Sultan kepada gupernement pada masa kami memegang kebesaran, karena yaitu perbuatan yang paling bagus yang boleh <phr>memberi</phr>	<w type=“target”>kesenangan</w>	tanah dan kebajikan orang kecil, maka dihubung sukacita sentosa selama-lamanya, demikian adanya. Tertulis daripada 14 hari bulan Februari kepada tahun 1864. §	nominalised	1800s
1860	senang	M&B 88:13	prose	"....... Muda."" Maka jawab Upu Daing Parani itu, ""Adapun yang seperti sahaya ini memohonlah dengan seboleh-bolehnya kerana yang sahaya hajati siang dan malam ini hendak <phr>mencarikan</phr>"	<w type=“target”>kesenangan</w>	adik-adik sahaya yang bertiga ini lagi. Dan seperti adik sahaya Upu Daing Menambun ini sudah tentulah tempatnya kerana ia dibuat menantu oleh Raja Matan. Maka yang ......	nominalised	1800s
1860	senang	M&B 167:28	prose	. tetap di dalam perseteruan seorang atas seorang, maka tiada lain melainkan sukakan seterunya itu mendapat bala dan benci ia akan seterunya mendapat nikmat. Maka tiadalah <phr>dapat</phr>	<w type=“target”>kesenangan</w>	<phr>di dalam hati</phr> siang malam semata-mata mencari sebab hendak membinasakan seterunya itu; sama ada pada zahir pada lidah seperti diumpat atau disumpah seranah dan maki .....	nominalised	1800s
1860	senang	M&B 200:26	prose	.... Biyasa itu ada punya anak laki-laki namanya Upu Daing Kalola. Kemudian adapun Upu Daing Biyasa itu mendengar khabar sekalian saudara-saudaranya yang lima itu sudah <phr>mendapat</phr>	<w type=“target”>kesenangan</w>	"<phr>di</phr> Riau dan di Sambas dan di Matan, Mempawah. Maka berkhabarlah Upu Daing Biyasa kepada anakanda Upu Daing Kalola, ""Adapun ayahanda mendengar khabar yang seperti saudara-"	nominalised	1800s
1860	senang	M&B 201:2	prose	".. ""Adapun ayahanda mendengar khabar yang seperti saudara-saudara kita berlima bersaudara itu pergi ke tanah sebelah barat, ayahanda dengar khabarnya masing-masing ia sudah <phr>dapat</phr>"	<w type=“target”>kesenangan</w>	; ada yang jadi Yamtuan Muda di Riau dan ada yang jadi Penembahan di Mempawah; dan ada yang jadi Pangeran Mangkubumi di dalam negeri Sambas. Maka di dalam fikiran ........	nominalised	1800s
1860	senang	M&B 225:10	prose	........ kita tunduk tengadah , lihat kepada datuk nenek yang sudah-sudah , adil dan insaf jua berfaedah , menaikkan kita pangkat saadah. | Rakyat dan sakai hendaklah <phr>pelihara</phr> ,	<w type=“target”>kesenangan</w>	hidupnya dikira-kira istimewa pula sanak-saudara , jangan sekali diberi cedera. | Ilmu yang benar hendaklah dimulia , kerana ia muarinya anbia , tuntut ilmu jangan sia-..	nominalised	1800s
1860	senang	M&B 247:13	prose	kepada adinda kedua. Maka mudah-mudahan jua kedua adinda supaya selamat sempurna segala pekerjaan dikurniai Allah sampailah kepada anak cucu cicit turun-temurunnya <phr>duduk dengan</phr>	<w type=“target”>kesenangan</w>	jangan ada satu apa ada merbahayanya addunya walakhirah. Akan tetapi kakanda Ratu Agung Senuhun ini menahankan adinda kedua barang tujuh hari di sini kerana ada hajat ...	nominalised	1800s
1860	senang	M&B 259:16	prose	. meramaikan negeri dan meramai-ramaikan dagang-dagang. Makin sehari makin bertambahlah hasilnya. Riau pun ramailah berapa adat istiadat ramai negeri yang besar-besar, <phr>banyaklah</phr>	<w type=“target”>kesenangan</w>	orang mencari kehidupan. Banyaklah orang-orang kaya dan saudagar-saudagar yang meniaga dengan perniagaan yang besar di dalam negeri Riau. Dan daripada masa inilah yang ..	nominalised	1800s
1860	senang	TN 51:10	prose	....... Al-kisah maka tersebutlah perkataan Sultan Abd al-Jalil di dalam negeri Johor. Sebermula adalah kira-kira sembilan belas tahun kerajaan di dalam negeri Johor yang <phr>di dalam</phr>	<w type=“target”>kesenangan</w>	dan makmurnya. Maka datanglah pula hawadith al-dahr wa tabdil al-hal dengan beberapa sebab daripada Allah subhanahu wa taala, dengan hikmatNya balighat: permulaan jalan	nominalised	1800s
1860	senang	TN 146:19	prose	".... berjumpa juga dengan raja Terengganu itu, yang saya tiada menolak daripada fikiran raja Melaka itu."" Maka jawab raja Melaka itu, ""Tidak apa, lambat bangat <phr>atas</phr> kepicikan dan"	<w type=“target”>kesenangan</w>	"Tuan Sultan saya pun menimbang juga di situ."" Syahadan maka apabila selesailah berbicara itu, maka baginda pun berangkatlah balik ke Riau, serta bertitah kepada orang ..."	nominalised	1800s
1860	senang	TN 250:14	prose	.... hendak mencari untung dan nama dan dua tiga buah negeri orang kulit hitam engkau binasakan, dan beberapa pula jiwa manusia yang hilang dan beberapa orang yang <phr>duduk di dalam</phr>	<w type=“target”>kesenangan</w>	di dalam tanah buminya jadi haru-hara ke sana ke mari dan hilang kemuliaannya dan putus pula rezekinya. Adakah patut demikian itu khianatkan orang dengan tanah buminya ..	nominalised	1800s
1870	senang	NAsik 75	prose	.. sairnya, | Yā sādātī `annan binuri `ayni , ma `alayhā mustarīh , hattā ibnu 'l-jārih , mā sawqī illā bitarki | Artinya, “Ya Tuan, dengan Tuan menerangkan mata, tetapi tiada <phr>ada</phr>	<w type=“target”>kesenangan</w>	<phr>dalam</phr> dunia hingga Nabi Sulaiman masih merasakan susah, tiada ada rindu dendam, melainkan orang yang jauhkan daripada rindu dendamnya ”, demikianlah sairnya itu. Setelah	nominalised	1800s
1870	senang	KSPL Yos 23:1	prose	.. suatu kesaksian di antara kita, bahwa sesungguhnya Tuhan itu Allah. Hata, maka pada sekali peristiwa, yaitu lama kemudian dari pada Tuhan <phr>mengaruniakan</phr> kepada orang Israel	<w type=“target”>kesenangan</w>	dari pada segala musuhnya berkeliling, dan Yusak pun telah menjadi tua dan banyak umurnya, bahwa dipanggil Yusak akan segenap orang Israel datang berhimpun dengan segala	nominalised	1800s
1870	senang	KSPL 2Sa 7:1	prose	.... kepada hari matinya tiada ia tahu beranak. Hata, pada sekali peristiwa, yaitu pada masa baginda bersemayam dalam istana baginda, dan telah <phr>dikaruniakan</phr> Tuhan akan baginda	<w type=“target”>kesenangan</w>	dari pada segala musuh baginda berkeliling, maka titah baginda kepada nabi Natan: Bahwasanya aku ini duduk dalam sebuah istana dari pada kayu araz, maka tabut Allah itu .	nominalised	1800s
1870	senang	KSPL 2Sa 7:11	prose	. oleh bangsa khianat akan dia, seperti pada zaman dahulu, dan lagi dari pada hari Aku menyuruh hakim-hakim memerintahkan umatKu Israel, melainkan akan dikau juga Aku <phr>memberi</phr>	<w type=“target”>kesenangan</w>	dari pada segala musuhmu. Dan lagi Tuhan pun memberitahu akan dikau, bahwa Tuhan juga akan mengekalkan rumahmu kelak. Maka apabila sudah genaplah segala harimu dan ......	nominalised	1800s
1870	senang	KSPL 1Ta 22:9	prose	.. darah kepada bumi di hadapan hadiratKu. Bahwa sesungguhnya seorang laki-laki akan diperanakkan bagimu kelak, maka ialah akan menjadi orang bersenang, karena aku <phr>mengadakan</phr>	<w type=“target”>kesenangan</w>	baginya kelak dari pada segala musuhnya berkeliling, maka ia pun akan bernama Sulaiman, karena pada zamannya Aku mengaruniakan selamat sentosa kelak kepada segala orang .	nominalised	1800s
1870	senang	KSPL Est 5:9	prose	... pada esok hari lagi hendak patik perbuat akan tuanku, lalu patik pun akan berbuat seperti titah tuanku itu. Arakian, maka pada hari itu <phr>keluarlah Haman dengan</phr> sukacita dan	<w type=“target”>kesenangan</w>	<phr>hatinya</phr>, tetapi demi terlihatlah Haman akan Mordekhai dalam pintu istana baginda dengan tiada mau bangkit berdiri atau bergerak sekalipun akan memberi hormat kepadanya, .	nominalised	1800s
1870	senang	KSPL Ayu 3:13	prose	adalah tersedia pangku akan menyambut aku dan susu akan menyusui aku? Karena jikalau kiranya tidak begitu, niscaya sekarang aku berbaring dengan selamat dan aku <phr>tidur dengan</phr>	<w type=“target”>kesenangan</w>	, serta dengan segala raja-raja dan menteri-menteri di bumi yang telah membuat makam akan dirinya; atau serta dengan segala orang besar-besar, yang menaruh akan emas dan .	nominalised	1800s
1870	senang	KSPL Ayu 21:23	prose	..... kepada Allah, sedang Ia juga menghukumkan segala keadaan yang tinggi-tinggi? Bahwa seorang pun matilah di tengah-tengah kesempurnaan selamatnya, sementara ia <phr>dalam hal</phr>	<w type=“target”>kesenangan</w>	dan sentosa. Seperti segala binatangnya berkelimpahan air susu, demikian pun sumsum tulang-tulangnya dibasahkan. Maka seorang lain pun matilah dengan kepahitan hatinya, .	nominalised	1800s
1870	senang	KSPL Ams 17:1	prose	yang mengalahkan sebuah negeri. Bahwa undi-undi itu dibuang dalam ribaan, tetapi segala perintahnya dari pada Tuhan juga adanya. Bahwa sesuap nasi yang kering, asal <phr>disertai</phr>	<w type=“target”>kesenangan</w>	<phr>hati</phr>, itu terlebih baik dari pada rumah penuh dengan binatang sembelihan yang tambun-tambun, tetapi disertai perbantahan. Seorang hamba yang berbudi itu akan ............	nominalised	1800s
1870	senang	KSPL Kho 4:6	prose	. pada pihak kawannya; maka ini juga suatu perkara yang sia-sia adanya dan yang memenatkan hati. Bahwa orang jahil itu berlipat-lipat tangannya dan makan daging dirinya. Bahwa	<w type=“target”>kesenangan</w>	<phr>segenggam</phr> itu terutama dari pada kedua belah genggam penuh dengan kesusahan dan sakit hati. Kemudian kulihat pula suatu perkara yang sia-sia adanya di bawah langit; .....	nominalised	1800s
1870	senang	KSPL Kho 9:7	prose	itu bahagian dalam alam ini dari pada segala sesuatu yang jadi di bawah langit. Sebab itu, hendaklah engkau makan rezekimu dengan berkesukaan dan <phr>minumlah air anggurmu dengan</phr>	<w type=“target”>kesenangan</w>	<phr>hatimu</phr>; karena sedialah Allah ridla akan perbuatanmu. Hendaklah selalu pakaianmu putih dan pada kepalamu jangan kurang minyak. Hendaklah engkau hidup bersenang-senang ...	nominalised	1800s
1870	senang	KSPL Yes 14:3	prose	.. dipegangnya dalam hal ketawanan segala orang yang sudah menawan akan dia, dan diperhambakannya segala pengerahnya. Maka akan jadi apabila sudah <phr>dikaruniakan</phr> Tuhan kepadamu	<w type=“target”>kesenangan</w>	dari pada segala kesukaranmu dan kesakitanmu dan pekerjaanmu yang berat, yang ditanggungkan kepadamu oleh orang yang memperhambakan kamu, pada masa itu kamu akan ........	nominalised	1800s
1870	senang	KSPL Yes 28:12	prose	. dan dengan bahasa yang lain. Ia yang sudah berfirman kepada mereka itu demikian: Bahwa inilah perhentian; berikanlah perhentian kepada orang yang lelah; dan <phr>di sini adalah</phr>	<w type=“target”>kesenangan</w>	! tetapi tiada mereka itu mau mendengar. Maka sebab itu firman Tuhan jadi baginya akan hukum bertambah hukum, hukum bertambah hukum, syarat bertambah syarat, syarat ......	nominalised	1800s
1870	senang	KSPL Yes 32:17	prose	. masa itu di padang belantara juga akan duduk kebenaran, dan di dalam taman itu akan diam keadilan. Maka perolehan keadilan itu akan selamat dan hasil keadilan itu <phr>akan hal</phr>	<w type=“target”>kesenangan</w>	dan sentosa pada selama-lamanya. Maka umatKu akan diam di dalam pondok selamat dan di dalam rumah-rumah yang bersentosa dan diperhentian yang tiada bepercintaan. Tetapi .	nominalised	1800s
1870	senang	KSPL Yes 57:16	prose	.. Karena tiada Aku hendak berbantah-bantah sampai selama-lamanya dan tiada Aku hendak murka dengan tiada berkeputusan; apabila nyawa diliputi di hadapan hadiratKu <phr>Kujadikan</phr>	<w type=“target”>kesenangan</w>	<phr>baginya</phr>. Bahwa murkaKu sudah berbangkit akan salah mereka itu yang bertimbun-timbun, lalu Kupalu akan mereka itu; dengan kehangatan murkaKu Aku menyamarkan diriKu dari ..	nominalised	1800s
1870	senang	KSPL Yes 61:2	prose	. aku mengobati orang yang pecah hatinya, dan berseru-seru kelepasan bagi orang yang tertawan dan kebukaan penjara bagi orang yang terbelenggu. Dan akan berseru-serukan <phr>tahun</phr>	<w type=“target”>kesenangan</w>	<phr>Tuhan</phr> dan hari pembalasan Allah kita, dan akan menghiburkan segala orang yang berdukacita hatinya. Dan akan mengangkat segala orang Sion yang berdukacita, dan akan ......	nominalised	1800s
1870	senang	KSPL Yer 6:16	prose	.... jalan-jalan, camkanlah baik-baik dan bertanyalah akan jalan-jalan dahulukala di mana gerangan jalan yang betul, lalu hendaklah kamu menjalani dia, maka kamu akan <phr>beroleh</phr>	<w type=“target”>kesenangan</w>	<phr>hatimu</phr>, tetapi kata mereka itu: Tiada kami mau menjalani dia. Dan lagi Aku sudah mengangkat akan beberapa orang penunggu atas mereka itu, serta firmanKu: Dengarlah baik-.	nominalised	1800s
1870	senang	KSPL Yer 31:2	prose	. Demikianlah firman Tuhan: Adapun mereka yang luput dari pada dimakan pedang, ia itu sudah mendapat kasihan, seperti di padang Tiah, tatkala orang Israel pergi akan <phr>mendapat</phr>	<w type=“target”>kesenangan</w>	bagi dirinya. Bahwa Tuhan sudah kelihatan kepadaKu dari jauh; tegal Aku mengasihi akan dikau dengan kasih yang kekal, sebab itu Aku membujuk engkau dengan kemurahanKu. ..	nominalised	1800s
1870	senang	KSPL Yer 45:3	prose	. akan halmu, hai Barukh! Katamu begini: Wai bagiku sekarang, karena Tuhan sudah menambahi kedukaanku lagi dengan sengsara; penatlah aku berkeluh kesah dan tiada aku <phr>mendapat</phr>	<w type=“target”>kesenangan</w>	. Begini hendaklah kaukatakan kepadanya: Demikianlah firman Tuhan: Bahwasanya barang yang telah Kubangunkan itu Kurombak pula dan barang yang telah Kutanam itu pun .......	nominalised	1800s
1870	senang	KSPL Zak 8:10	prose	..... dengan sekarang kaabah itu disudahkan? Karena dahulu dari pada hari itu manusia tiada mendapat upah pekerjaannya dan binatang pun tiada mendatangkan hasil, dan <phr>tiadalah</phr>	<w type=“target”>kesenangan</w>	<phr>bagi</phr> orang yang keluar atau masuk, dari karena musuh dan segala manusia pun mengusik seorang akan seorang. Tetapi sekarang Aku bagi orang yang lagi tinggal dari pada ....	nominalised	1800s
1880	senang	Pah 31:19	prose	..... paduka adinda ‹me›milik negeri ini kelak, kerana ‹sekalian› isi negeri ini sudah tiada tertanggung lagi azabnya. Dan jikalau ke bawah kaus hendak <phr>bersemayam di dalam</phr> <phr>takhta</phr>	<w type=“target”>kesenangan</w>	, pulangkanlah kepada hamba Tengku bertiga beradik; hamba tua, Tok Kaya Chenor dan hamba tua Tok Kaya Temerloh. Maka di atas hamba Tengku bertigalah. Mustahillah tiada ...	nominalised	1800s
1900	senang	CJen.B 56:5	prose	.. padi, tembakau, gambir, ikan dan lain-lainnya; adalah berharga kadar lima puluh derham. Maka sangatlah kesukaan hati Pak Belalang menerima hadiah mereka itu, <phr>dengan</phr> <phr>beberapa</phr>	<w type=“target”>kesenangan</w>	ia makan anak-beranak, Kalakian, tersebutlah Raja Indera Maya di dalam negeri itu; pada suatu malam kecurianlah baginda tujuh biji peti yang berisi emas, intan, derham ..	nominalised	1900s
