period	words	genre	title	citation	syntax	form
1530s	bahagia	prose texts	Rama 33:2 .....	"dapat kami lawan, jikalau tiada dapat kami lawan kami berlepas diri kami."" Setelah sudah musyawarat itu maka kata raksyasya yang selaksa itu, ""Ya tuhanku Sipanjalma, <phr n=""p1"" ana=""WIDLII"">dengan</phr> <w function=""uns"" type=""target"">bahagia</w> tuan hamba yang kami hiringkan ini, berjasa juga tuan hamba di bawah duli maharaja."" Maka raksyasya selaksa itu ditinggalkan Sipanjalma pada tempat empat bulan perjalanan .."	non-nominal	root
1530s	bahagia	prose texts	Rama 87:13 ...	"Maka titah Sardula dan Kemadakata, ""Baiklah, katakan kepada maharaja Balikasya (dan) aku datang ini melihat negeri Biruhasyapurwa juga. <phr n=""p1"" ana=""WIDLII"">Dengan</phr> daulat abangku raja Saksya dan <w function=""uns"" type=""target"">bahagia</w> kami mengerjakan kerja tuan kami negeri Biruhasyapurwa kami persembahkan ke bawah duli raja Syaksya."" Setelah Matakin menengar titah raja kedua itu maka ia pun mohon hendak"	non-nominal	root
1530s	bahagia	prose texts	Rama 166:1 ....	"Bibusyanam dan segala yang tahu melihat nujum dan barang suatu katanya benar, tiada lagi bersalahan. Maka disuruh maharaja Rawana, ""Lihatlah oleh tuan-tuan sekalian baiklah <w function=""pred"" type=""target"">bahagia</w> kanak-kanak ini. Lihat olehmu baik-baik, jangan kamu lindungkan padaku."" Maharaja Bibusyanam dan segala orang melihat nujum; semuhanya menggerak-gerakkan kepalanya. Maka ..."	non-nominal	root
1530s	bahagia	prose texts	Rama 659:6 ..	"hamba dimurkai betara Indra maka hamba jadi buhaya duduk dalam kolam ini. Jangankan manusia, margasatwa pun tiada dapat melintas, sekaliannya hamba telan. Sekarang apa gerang  <w function=""nom"" type=""target"">bahagia</w> <phr n=""a1"" ana=""nm"">hamba</phr> maka bertemu dengan tuan hamba, maka hamba pun pulang bidiadari; sebab tuan hamba tendang itu pertemuan hambalah gerangan dengan tuan hamba."" Maka kata Hanuman, ""Tuan"	nominal	root
1570s	bahagia	prose texts	Isk 19:8 .......	"Puteri Safiya Arqiya maka ujarnya, ""Hai anakku. Lamalah aku masyghul berkira-kira hendak memberi dikau bersuami daripada raja-raja sekarang. Sungguhnyalah <phr n=""p2"" ana=""m"">terbukalah</phr> <phr n=""p1"" ana=""m"">pintu</phr> <w function=""nom"" type=""target"">bahagia</w> bahawa Raja Ajam yang bernama Raja Darab itu berkehendak akan dikau."" Maka raja pun menyuruh menghiasi Puteri Safiya Arqiya dengan sederhana tubuhnya keemasan. Maka ........"	nominal	root
1570s	bahagia	prose texts	Isk 22:26 .........	"Maka diambilnya surat itu, dibawanya ke dalam mahligai. Syahadan inanganda pun dipanggilnya. Maka ujar puteri, ""Hai, telah datanglah bunyi kepada aku, pada hari ini <phr n=""p1"" ana=""m"">dua</phr> <w function=""nom"" type=""target"">bahagia</w> kesukaan. Dengarlah olehmu bunyi surat ini. Nantilah inanganda mendengar bunyi surat itu."" Maka ia pun sukacita. Maka Puteri Humani pun menyuruh memanggil Mihran Dailam, ..."	nominal	root
1570s	bahagia	prose texts	Isk 58:13 ...........	"ia Tuhan, hanya ia jua Tuhan yang kekal. Ia tiada hilang yang maha tinggi, ia tiada berubah dan tiada ia berpindah. Ia jua Tuhan yang berlakukan kudratnya <phr n=""p1"" ana=""m"">mengekalkan</phr> <w function=""nom"" type=""target"">bahagia</w> dan celaka dengan disuratkan kalam pada loh mahfuz. Ia juga Tuhan yang melimpahkan rahmatnya dan menyatakan mereka jalan yang sebenarnya dan menitahkan segala pesuruhnya ..."	nominal	root
1570s	bahagia	prose texts	Isk 64:11 ....	"menyuruhkan dia bersama-sama dengan Raja Iskandar. Maka sukacita Raja Iskandar. Syahadan ujarnya, ""Segala puji bagi Allah, Tuhan yang menjadikan tuan akan sebab <phr n=""p1"" ana=""m"">menghasilkan</phr> <w function=""nom"" type=""target"">bahagia</w>."" Maka disuruhnya panggil segala menterinya dan penggawanya. Maka diceritakan Raja Iskandar mendengar dia. Maka dikeluarkan oleh Aristatalis cincin seperti batu lakunya. ..."	nominal	root
1570s	bahagia	prose texts	Isk 256:5 ....	"segera berpaling daripada agama yang sesat itu. Sembah aku kerana bahawa aku tuan kamu."" Setelah Raja Darinus mendengar kata syaitan itu, maka ujarnya, ""Hai orang tua, <phr n=""p1"" ana=""m"">besar</phr> <w function=""nom"" type=""target"">bahagia</w> hamba, orang tua datang menunjuk kami jalan yang sebenarnya."" Maka dikeluarkan orang tua itu sebuah labu, dalamnya berisi anggur. Maka diminum oleh orang tua itu dan ......."	nominal	root
1570s	bahagia	prose texts	Isk 269:39 ...	"apabila kita tunjukkan berani kita pada sekalian, nescaya dilebihkan Raja Iskandar, kamu sekalian daripada tentera yang lain."" Maka sahut segala hulubalang, ""<phr n=""p1"" ana=""m"">Ditambahi</phr> Allah <w function=""nom"" type=""target"">bahagia</w> raja demikian. Seharusnyalah pekerjaan anak laki-laki meninggalkan nama yang baik dalam dunia."" Maka sekalian hulubalangnya bersungguhlah dengan sukacitanya, dan ada mereka"	nominal	root
1570s	bahagia	prose texts	Isk 290:18 .......	"anggota padaku dan jadikan akan engkau pertua."" Sebermula, apabila kita pecahkan lasykar Raja Iskandar segala barang harta kita rampas daripada mereka itu sekalian. Akan <w function=""uns"" type=""target"">bahagia</w> kamu jangan sedikit pun akan dirasa hanya nyawanya padalah."" Maka ujarnya iblis, ""Jikalau demikian jika diketahui segala kaum hamba sabda raja demikian nescaya terlalu ....."	non-nominal	root
1600s	bahagia	prose texts	Boma 54:25 ...	"pun duduklah bersama-sama dengan Batara Krisna dan Maharaja Bala Dewa. Maka kata Batara Krisna: ""Apakah pekerjaan tuan hamba datang kepada hamba ini? Pada rasa hamba terlalu <w function=""pred"" type=""target"">bahagia</w> hamba ini kedatangan oleh tuanku begawan ketiga, adalah rasa hamba ini seperti melihat Surgaloka itu melihat tuanhamba datang ini dan di dalam negeri hamba ini suatu pun ..."	non-nominal	root
1600s	bahagia	prose texts	TS.K 79:11 .......	"dirinya pada jalan syariat dan menjauhkan diri daripada pekerjaan bid`ah adanya. Maka jadilah pekerjaan agama Islam dengan sebenarnya perbuatan segala manusia itu adalah <w function=""nom"" type=""target"">bahagia</w> <phr n=""a1"" ana=""nm"">raja</phr> itu juga. Bermula daripada Buzar Jamhur Hakim orang bertanyakan yang terlebih baik daripada antara segala raja-raja siapa itu. Maka hakim berkata raja itu yang ........"	nominal	root
1600s	bahagia	prose texts	TS.K 157:2 ........	"segala `amar yang menyuruh berbuat baik dan daripada segala nabi yang menegah berbuat jahat kerana yang disuruh dan ditegah itu daripada sebab budi jua yang <phr n=""p1"" ana=""WIDLII"">bertentukan</phr> <w function=""nom"" type=""target"">bahagia</w> atau celaka segala manusia dan menandai segala manusia yang berbahagia dan bercelaka kerana budi itu ada beza pada antara manusia dan binatang. Rubai: | Budi sungguh yang .."	nominal	root
1600s	bahagia	prose texts	TS.R 12:7	"juga maka kemudian disuruh juga Hak Ta`ala seorang malaikat dengan empat patah kata sambil sabdanya: Akulah yang menyurat ajalnya dan umurnya dan rezekinya dan ialah celaka atau <w function=""nom"" type=""target"">bahagia</w>. Maka kemudian ditiup dalamnya nyawa juga. Bermula arti hadis itu yang sudah lalu ingatkan baik-baik dan bicarakan olehmu akan keadaanmu daripada apa dan betapa. Adapun ...."	nominal	root
1600s	bahagia	prose texts	TS.R 82:16 ...	dirinya pada perbuatan syari`at dan menjauhkan dirinya daripada pekerjaan bida`at dan jadilah pekerjaan agama Islam dengan sebenarnya dan perbuatan segala manusia itu adalah bahagia raja juga. Bermula dari Buzurjmihr Hakim orang bertanyakan: Yang terlebih baik daripada antara segala raja-raja siapa itu? Maka Hakim berkata: Raja itu yang sekalian orang .	nominal	root
1600s	bahagia	prose texts	TS.R 170:14 ...	segala amir yang menyuruh berbuat baik dan daripada segala nahi yang meneguh berbuat jahat karena yang disuruh dan yang diteguh itu daripada sebab budi jua yang bertentukan bahagia atau celaka segala manusia dan menandai segala manusia yang berbahagia dan bercelaka karena budi itu ada beda pada antara manusia dan binatang. RUBA`I :| Budi sungguh yang	nominal	root
1620s	bahagia	prose texts	Aceh 117:17 ....	"`Alam akan tuan puteri Raja Indera Bangsa: ""Hai anakda, bahwa `alamat cahaya itu terlalu sempurna kebajikan diperoléh anakku daripada berkat kemuliaan cucuku akan menambahbahagia anakku jua. Janganlah anakku dukacita. Bahwa rahasia ini hubaya jangan dikatakan anakku kepada seorang jua pun, karena kebesaran dan kemuliaan yang diperoléh anakda ........"	nominal	root
1620s	bahagia	prose texts	Aceh 148:6	"... minuman. Maka Pancagah meruah mamanda serta menyuruh memeri persalinan akan penghulu gajah yang menyerat itu. Maka sembah penghulu gajah: ""Ditambah Allah ta`ala kiranya mandabahagia tuanku akan mengempukan negeri Acéh Dar as-Salam ini."" Kata yang empunya [ceritera]: maka tatkala sampailah `umur Abangta Raja Munawwar Syah yang timang-timangan Pancagah .."	non-nominal	root
1620s	bahagia	prose texts	Aceh 195:2 ..	"cucunda ini pada `akal dan pada bijaksyana. Maka pada pandangan yang diperhamba beberapa sifat kemuliaan dan kebesaran kelihatan pada cucunda ini. Dan beberapa daripada tandabahagiaada pada cucunda ini dipertunjukkan Allah subhanahu wata`ala kepada yang diperhamba."" Maka Syah `Alam pun menitahkan orang menempa loh mas bepermata dan loh suasa bepermata"	nominal	root
1620s	bahagia	prose texts	Aceh 195:2 ..	"cucunda ini pada `akal dan pada bijaksyana. Maka pada pandangan yang diperhamba beberapa sifat kemuliaan dan kebesaran kelihatan pada cucunda ini. Dan beberapa daripada tandabahagiaada pada cucunda ini dipertunjukkan Allah subhanahu wata`ala kepada yang diperhamba."" Maka Syah `Alam pun menitahkan orang menempa loh mas bepermata dan loh suasa bepermata"	nominal	root
1620s	bahagia	prose texts	Aceh 195:2 ..	"cucunda ini pada `akal dan pada bijaksyana. Maka pada pandangan yang diperhamba beberapa sifat kemuliaan dan kebesaran kelihatan pada cucunda ini. Dan beberapa daripada tandabahagiaada pada cucunda ini dipertunjukkan Allah subhanahu wata`ala kepada yang diperhamba."" Maka Syah `Alam pun menitahkan orang menempa loh mas bepermata dan loh suasa bepermata"	nominal	root
1620s	bahagia	prose texts	Aceh 220:9 ..	"namanya Warna Sanggeram, seorang lagi namanya Maha Sanggeram. Maka titah raja Syahr Nawi kepada kedua ahlu'n-nujum itu: ""Hai kedua kamu nujum, lihat dalam sastera kamu betapa bahagia dan tuah Pancagah cucu saudara kita Syah `Alam yang di Acéh itu."" Maka kedua nujum memuka surat sasteranya maka ditiliknya seketika surat sasteranya itu. Maka kedua nujum .."	non-nominal	root
1620s	bahagia	prose texts	Aceh 221:1 ....	"hal kedua nujum itu maka titah raja Syahr Nawi: ""Apa penglihat kedua kamu dalam sasteranya nujum kamu kedua?"" Maka sembah kedua nujum itu: ""Tuanku terlalu `ajab sekali mandabahagia Pancagah itu. Ialah yang mengempukan segala raja-raja yang dalam pihak bumi masyrik ini. Dan Pancagah itulah mena`lukkan segala raja-raja dan menurunkan segala takhta ......"	non-nominal	root
1620s	bahagia	prose texts	Aceh 279:10 .	"hamba inilah patut akan ganti hamba karena hamba pun terlalu kasih akan dia daripada hamba lihat sangat ikhlasnya akan hamba. Dan telah dipertunjukkan Allah kepada(nya) hamba bahagia cucu hamba ini. Bahwa ialah yang mengempukan masyrik dan maghrib dan mengalahkan negeri Melayu dan hamba segala raja-raja (maka) Melayu itu."" Maka Syah `Alam pun pada ......"	nominal	root
1650s	bahagia	prose texts	IbrA 100:39 .	..... mataku kedua, janganlah sangat engkau bercintakan aku, dan jangan engkau dukacita sangat. Pertetap juga hatimu: bahwa engkau akan diberi Allah taala Tuhan `azza wa jalla  bahagia dunia dan dalam akhirat: bahwa engkau diberi bersuami akan seorang pertapa kepada Allah taala, lagi raja besar, tetapi sekarang sudah ia meninggalkan kerajaannya dan .......	nominal	root
1650s	bahagia	prose texts	IbrA 166:36 .	". kata nasihat daripada mereka itu; dan menjauhkan dirinya daripada segala ulama yang jahat, yaitu memuji lagi menyampurkan dia, dan minta kerelaannya karena tamaknyadaripadabahagia dunia ini. Demikianlah, hai Wazir al-Alam, orang dinugerahkan Allah taala kerajaannya kepadanya sangat-sangat berbuat adil dan ibadat."" Maka Wazir al-Alam pun terlalu ......"	nominal	root
1650s	bahagia	prose texts	IbrA 223:10 .	...... rumah itu maha rahman, yaitu maha murah, pada tiap-tiap hari siang dan malam, pagi dan petang, akan jamu di dalam rumah itu. Maka barang siapa daripada segala jamu yang bahagia dan budiman serta beruntung, demi ia masuk di dalam rumah itu maka dipakainyalah segala pakaian dan segala perhiasan, dan segala nikmat itu pun dimakannya. Bahwa karena ....	non-nominal	root
1650s	bahagia	prose texts	SM 26:31 .	".. baiklah tuan hamba juga jadi raja kami."" Maka Patih Suatang pun pergilah mengadap Sang Si Perba bersama-sama dengan sekalian mereka itu. Maka sembah Patih Suatang, ""Terlalulah bahagia kami sekalian merajakan tuanku di tanah Minangkabau ini; tetapi tuanku, ada seekor ular besar membinasakan perhumaan kami itu. Jikalau ada derma kurnia tuanku, kami minta .."	non-nominal	root
1680s	bahagia	prose texts	IbrA.s 16:28	"kepalanya maka katanya kepada anaknya ""Hai anakku, buah hatiku, jangan sangat anakku bercinta akan daku dan pertetapkan hatimu, bahwa adalah engkau akan dikurniai Allah taala bahagia bersuami akan Sultan Ibrahim ibn Adham. Hai anakku, sudahlah kehendak Allah taala berlaku, anakku jangan durhaka anakku kepadanya dan berbuat bakti engkau, barang yang ....."	nominal	root
1700s	bahagia	prose texts	Tuah 2:21 .	".... segala ahlulnujum dan sastrawan itu, ""Ya tuanku syah alam, patik mohonkan ampun beribu-ribu ampun dan kurnia ke bawah duli syah alam; adapun patik anakanda ini terlalu amat bahagia beroleh suami anak raja besar, dan anak cucu paduka anakanda inilah akan jadi raja datang kepada akhir zaman, akan menjadi raja besar. Maka duli tuanku pun hendaklah ......."	non-nominal	root
1750s	bahagia	prose texts	Anb 209:24 .	... itu melihatkan hal demikian itu, lalu diambil oleh segala mereka itu akan kanak-kanak itu dibawanya kembali ke rumahnya. Pada sangka mereka itu bahawa kanak-kanak itu tanda bahagia. Hatta maka dipeliharakan oleh mereka itulah dengan sepertinya lalu dinamai oleh segala mereka itu akan kanak-kanak itu dengan nama Namrud,* kerana dengan sebab disusui ....	nominal	root
1750s	bahagia	prose texts	Anb 254:25 .	". tengah negeri, maka dilihat oleh Nabi Allah Ibrahim banyak segala manusia berjalan dalam pasar itu. Maka ujar Nabi Allah Ibrahim: ""Hai kaumku kata olehmu: supaya kamu berolehbahagia, bahawasanya ku pertakut akan kamu diturunkan Allah Taala kamu seksa yang amat keras seperti yang diturunkan atas segala kaum Nuh dan Hud dan Salleh dan La-ilaha illah ....."	nominal	root
1750s	bahagia	prose texts	Anb 688:12	melihat dan telinganya itu pun mendengar dan mulutnya pun berkata-kata dengan fasih lidahnya, lalu ia pun berdiri mengucap kalimah, La-ilaha illah 'Llah `Isa ruh Allah. Amatlah bahagia barang siapa menurut katamu. Maka perempuan tuha itu pun terlalulah sukacitanya oleh melihat anaknya sudah sihat daripada penyakit itu selamat adanya maka sabda Nabi Allah .	non-nominal	root
1750s	bahagia	prose texts	Anb 706:31 .	"..... ini kerana harap kami hendak berlihat dengan dia, jika kami mati pun adalah syarat akan kami hendak berlihat dengan dia, jika kami daripada berkat syafaatnya kami berolehbahagia di akhirat jemah."" Setelah Raja Tabang menengar kata segala hakim-hakim itu maka baginda pun menangis katanya: ""Hai segala tuan-tuan hakim, hendaklah suratkan suatu surat .."	nominal	root
1780s	bahagia	prose texts	Misa 131:8 .	....... duli seri betara , Memohonkan doa dengan sejahtera. | Sampailah ia orang yang mulia , Boleh diharap serta percaya , Dengan kodrat Tuhan yang kaya , Ia pun boleh pangkat bahagia. | Raja Kenayan ia pun ada , Saudara sama seayah dan bonda , Di dalam kenaikan putera baginda , Ialah konon menjadi nakhoda. | Amir dan Koraisy berkawan-kawan ,............	non-nominal	root
1800s	bahagia	prose texts	ABS 24:6 .	"muda(h), hamba mohonkan rahim tuan hamba. Tolong dengan kerana Allah Subhanahu wa Taala menyeberangkan hamba dan anak hamba dua orang ini supaya mudah-mudahan tuan hamba berolehbahagia kepada Allah dan ditambahi Allah rezeki tuan hamba dan ditetapkan Allah iman tuan hamba di dalam dunia ini datang ke akhirat."" Serta dengan beberapa doa dan perkataan yang ."	nominal	root
1820s	bahagia	prose texts	Perak 64:8	.... adinda baginda. Maka bersuka-sukaan dan seperti `adat raja-raja Melayu. Maka berapa lamanya maka Sultan `Alauddin pun berangkat pulang ke negeri Perak dengan sempurna serta bahagia dengan dikurniai Allah Subhanahu wa ta`ala kiranya sentosa di atas kerajaan. Adinda baginda menjadi Raja Muda memangku kerajaan kakanda baginda serta dengan menteri pegawai	non-nominal	root
1840s	bahagia	prose texts	Abd.H 440:10	..... anak kucing itu menjadi harimau, bukankah hairan yang besar kelak di antara manusia serta dengan beberapa dipujinya? Maka sukat orang yang bertuahlah maka boleh mendapatbahagia itu. Maka adalah seolah2 kulihat tabi`at dan sangka mereka itu telah cukuplah sudah ia seperti halnya yang ada itu, maka sebab itulah ia tiada mau mengetahui atau belajar ..	nominal	root
1860s	bahagia	prose texts	Dmsy.H 634	".... di sini dahulu barang dua tiga hari."" Maka kata Syah Firman, ""Baiklah, hai nenekku."" Maka orang tua itu pun sukacitalah hatinya, seraya katanya, ""Ya tuanku, apakah gerangan bahagiahamba maka mau tuanku singgah di rumah orang miskin ini? Daripada daulat tuanku serta bahagia tuanku datang ke mari ini, maka segala pohon bunga hamba yang mati-mati itu ..."	nominal	root
1860s	bahagia	prose texts	Dmsy.H 635	"orang tua itu pun sukacitalah hatinya, seraya katanya, ""Ya tuanku, apakah gerangan bahagia hamba maka mau tuanku singgah di rumah orang miskin ini? Daripada daulat tuanku serta bahagia tuanku datang ke mari ini, maka segala pohon bunga hamba yang mati-mati itu hidup pula, seraya dengan bertambah-tambah bunganya."" Maka ia pun memungut bunga itu. Maka ....."	nominal	root
1870s	bahagia	prose texts	KSPL Maz 81:16	........... musuhnya, dan membalikkan tanganKu kepada segala lawannya. Maka segala orang yang benci akan Tuhan itu menundukkan dirinya kepadaNya kelak dengan pura-pura; maka bahagia Israel akan adapada selama-lamanya. Maka Aku memberi makan akan dia dari pada lemak gandum, bahkan, Aku mengenyangkan mereka itu dengan air madu dari dalam gunung batu. ...	nominal	root
1930s	bahagia	prose texts	KSPB Rom 4:6 .	kepada orang yang tiada bekerja, melainkan percaya akan Dia yang membenarkan orang fasik itu, maka imannya itu dihisabkan menjadi kebenaran. Sama seperti Daud pun mengatakan bahagia atas orang itu yang dihisabkan Allah kepadanya kebenaran, dengan tiada perbuatan itu, katanya: Berbahagialah segala orang yang diampunkan kesalahannya dan dosanya sudah ....	non-nominal	root
1930s	bahagia	prose texts	KSPB Rom 4:9 .	katanya: Berbahagialah segala orang yang diampunkan kesalahannya dan dosanya sudah tertudung; berbahagialah orang yang tiada akan dihisab dosanya oleh Tuhan. Jikalau begitu, bahagia itu diuntukkankepada orang yang bersunat sahajakah? Atau kepada orang yang tiada bersunat juga? Karena kami mengatakan, bahwa kepada Ibrahim itu imannya dihisabkan menjadi	nominal	root
1930s	bahagia	prose texts	KSPB 2Ti 1:18	.. tiada ia malu karena rantaiku, melainkan tatkala ia di negeri Rum, ia sudah mencari aku dengan usaha sehingga berjumpa dengan aku. (Maka Tuhanlah kiranya mengaruniakan dia bahagia mendapat rahmat daripada Tuhan pada Hari itu); maka sebagaimana di dalam beberapa perkara ia sudah melayani aku di Epesus engkau pun terlebih mengetahui. Sebab itu akan ....	nominal	root
1590s	bahagia	tracts&manuals	AN a15	"Allah Ta`ala (ya`ni jika kehendak Allah)."" Bermula: [yang] berbahagia itu ada kalanya jadi celaka, dan yang celaka itu ada kalanya jadi berbahagia. Bermula: berubah itu ada ia padabahagia dan celaka juga, tiada pada membahagiakan dan mencelakakan karena bahwa keduanya itu daripada sifat Allah Ta`ala juga. Bermula: tiada berubah pada Allah Ta`ala pada zatNya ."	nominal	root
1590s	bahagia	tracts&manuals	HF 34:2b .	mubtadī , Yogya dituntut haqīqat Muhammad nabī , Karena `ilmu itu pertama tajallī , Kenyataan makhlūqāt daripada ilāhi | Barangsiapa `ārif mengenal dia , Ia itu sampurna berolehbahagia, Karena `ilmu itu yang mahāmulia , Kenyataan Tuhan pertama sedia | Tabāraka Allāh ta`ālā menurunkan firmān ,Wa laqadi khtabarnākum `ilmu terlalu `ayān , Āyat ini daripada	nominal	root
1590s	bahagia	tracts&manuals	HF 34:9c	illā anā fa `budūni, Pada surat Ta-Hā adanya terperi ,Wa aqimi 'l salāta li dhikrī| Dhikir Allāh itu suatu cahya , Menerangkan jalan yang mulia raya , Barang sampurna berolehbahagia, Mendapat ma`rifat menjebut yang sedia | Riwāyat ini daripada shaykh al-Fansūrī , Menunjuki kita sekalian mubtadī , Bukan baharu sekarang tegal kucari , Daripada saif al-..	nominal	root
1590s	bahagia	tracts&manuals	HF 37:9b ,	Nentiasa bermain di balai kambang , Pada hikmatnya itu jangan kausimpang , Itulah kelakuan nentiasa berulang | Wujūdnya latīf sifāt yang kaya , Barang yang `ārif ialah sampurna bahagia, Itulah haqīqat sekalian sahaya , Bernama ‘mahbūb’ elok yang sedia | Wujūdnya itu pertama zāhir , Tatkala bergerak `ishqi daripada amīr , `Āshiq dan ma`shūq sana hādir ,..	non-nominal	root
1650s	bahagia	tracts&manuals	ST 67	yang tiada ada wujud lain daripada wujudnya, karena yang dapat diperikan pada bermasuk-masukan itu hanya pada dua wujud jua. ¶ Maka nyatalah kepada segala `arif yang beroléh untungbahagia `ilmu ma`rifat Allah itu hanya segala perkara yang berbagai-bagai nyata kelihatan ini akan mazhar wujudNya yang tiada berbagai-bagai itu jua. Maka dari karena inilah dibawa	nominal	root
1650s	bahagia	tracts&manuals	ST 306	....... sifat iradat Allah ta`ala maka ia memandang kepada keadaan shai itu daripada pihak nyata ketentuannya, upama laki-laki tiada perempuan, dan upama baik tiada jahat, dan upama bahagia tiada celaka dan upama nyatanya pada sesuatu ketika tiada pada sesuatu ketika, maka ketentuan yang tersebut itu athar iradat Allah ta`ala yang ka´im pada dhat Allah ta`ala .	nominal	root
